2018-02-09 13:54:23,887 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-09 13:54:23,889 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-09 13:54:23,892 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-19 11:27:01,963 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-19 11:27:02,082 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-19 11:27:02,099 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-19 11:27:02,101 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-20 09:55:01,617 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-20 09:55:01,627 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-20 09:55:01,630 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-20 09:55:01,632 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-21 11:43:21,736 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 11:43:21,747 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-21 11:43:21,750 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 11:43:21,753 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-22 11:46:11,163 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:46:11,175 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\main\resources
2018-02-22 11:46:11,178 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:46:11,180 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\Hi\src\test\resources
2018-02-22 11:46:52,225 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\myreport\SpringMVCAnnotationHelloWorld\pom.xml
2018-02-22 11:46:54,496 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.info.demo:SpringMVCAnnotationHelloWorld:0.0.1-SNAPSHOT @ C:\myreport\SpringMVCAnnotationHelloWorld\pom.xml.
2018-02-22 11:46:55,953 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMVCAnnotationHelloWorld/src/main/java
2018-02-22 11:46:55,954 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringMVCAnnotationHelloWorld/src/main/resources
2018-02-22 11:46:55,957 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMVCAnnotationHelloWorld/src/test/java
2018-02-22 11:47:00,605 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 8 sec
2018-02-22 11:47:01,070 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:47:01,081 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-02-22 11:47:01,082 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:47:01,085 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\SpringMVCAnnotationHelloWorld\src\test\resources
2018-02-22 11:47:52,173 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:47:52,181 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-02-22 11:47:52,184 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:47:52,188 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\myreport\SpringMVCAnnotationHelloWorld\src\test\resources
2018-02-22 11:48:04,786 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-02-22 11:48:06,994 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.info.demo:SpringMVCAnnotationHelloWorld:0.0.1-SNAPSHOT @ C:\myreport\SpringMVCAnnotationHelloWorld\pom.xml.
2018-02-22 11:48:08,586 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMVCAnnotationHelloWorld/src/main/java
2018-02-22 11:48:08,587 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringMVCAnnotationHelloWorld/src/main/resources
2018-02-22 11:48:08,588 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMVCAnnotationHelloWorld/src/test/java
2018-02-22 11:48:12,212 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SpringMVCAnnotationHelloWorld
2018-02-22 11:48:12,230 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 7 sec
2018-02-22 11:48:12,512 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-22 11:48:12,520 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-02-22 11:48:12,527 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
